"title","shortDescription","ritualPacks","journeys","loveTypes","timeTaken","relationalNeeds","lifeContexts","emotionalStates","ritualMode","depth","rhythm","steps","longDescription","semanticSummary"
"Mini Check-In ","Share one word for how you’re feeling right now.","","","BELONG","SHORT","UNDERSTANDING, COMMUNICATION","","","","","","","",""
"Tea for Two","Sit for 3 minutes with a drink together — no phone, no plan.","","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME, CONNECTION","","","","","","","",""
"Surprise Song Swap ","Each sends the other one song that matches your current mood. ","","","FIRE, SPARK","SHORT","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"One-Minute Doodle Duel ","Draw each other in 1 minute — compare results. ","","","SPARK","SHORT","PLAY_AND_JOY, GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Care Act","Do one tiny act that makes your partner’s day easier, silently.","Everyday Magic","","CARE","FLEXIBLE","SUPPORT","","","","","","","",""
"Soft Glance","As you pass each other, share one warm look that says “I see you.” ","","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME, CONNECTION","","","","","","","",""
"Daily Spark Log","Each day, jot one tiny joyful moment together in a shared note. ","","","SPARK, BELONG","SHORT","GRATITUDE_AND_APPRECIATION, PLAY_AND_JOY","","","","","","","",""
"Nightlight Note","Before bed, leave a one-line love note or message of appreciation.","","","GRACE","MOMENT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Mini Ritual Calendar","Pick one day a week for a micro-adventure or treat.","Everyday Magic","","SPARK","EXTENDED","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"Quiet Touch ","Sit close, place your hand gently on your partner's arm or back or heart, just breathing together for 1 minute.","Soften the Edges","","CARE","MOMENT","TRUST_AND_SAFETY","","","","","","","",""
"Shared Breaths","Sit facing each other, match your breathing for a few cycles; let your gaze soften.","","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"What Touch Feels Safe ","Share what kinds of touch feel most comforting vs. overwhelming. ","","","CARE","MEDIUM","TRUST_AND_SAFETY, UNDERSTANDING","","","","","","","",""
"Body Gratitude ","Name one thing you appreciate about your partner’s body — its strength, softness, warmth, or presence.","","","FIRE","MEDIUM","INTIMACY","","","","","","","",""
"Touch Memories","Recall a memory of a time you felt deeply connected through touch. ","","","BELONG","MEDIUM","CONNECTION","","","","","","","",""
"Palm Play ","Explore each other’s hands with slow curiosity; trace, squeeze, draw circles.","","","FIRE","SHORT","INTIMACY","","","","","","","",""
"Slow Dance in Silence","Choose a soft song, hold each other, and sway to music, syncing breath and rhythm naturally, without talking.","","","CARE","MEDIUM","CONNECTION, PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Laughing Contact ","Play a light game like mirroring each other’s movements or dancing goofily.","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Comfort Blanket Moment","Lie or sit together under one blanket, no talking, just shared warmth.","Soften the Edges","","CARE","MEDIUM","TRUST_AND_SAFETY","","","","","","","",""
"Scent and Touch","Use a favorite oil or lotion, take turns applying it on hands or arms.","","","FIRE","MEDIUM","INTIMACY","","","","","","","",""
"Body Map of Care ","With clothes on, trace outlines of each other’s arms, shoulders, back — saying “thank you” for each part.","","","CARE, FIRE","LONG","CONNECTION, INTIMACY, GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Goodnight Touch","Every night, share one small touch before sleep — a forehead kiss, hand on heart, or arm squeeze. ","","","CARE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Sunday Morning Snuggle","Set aside one morning a week for lazy cuddles or shared warmth.","","","FIRE","LONG","INTIMACY","","","","","","","",""
"Touch Token","Each gives a small token or note representing how they want to be touched or held.","","","BELONG, FIRE","SHORT","UNDERSTANDING, INTIMACY","","","","","","","",""
"Compliment Tag ","Take turns giving one flirty or funny compliment — no repeats.","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Eyes Only ","For 60 seconds, hold eye contact without speaking — then describe what you noticed.","","","FIRE","SHORT","INTIMACY","","","","","","","",""
"“If You Were...” Game","Finish prompts like “If you were a flavor / song / texture, you’d be…”","","","SPARK","SHORT","CONNECTION","","","","","","","",""
"Texture Hunt","Each picks one household item that “feels nice” and gently explores how it feels on skin.","","","FIRE","MEDIUM","INTIMACY","","","","","","","",""
"Blindfold Mystery","One is blindfolded, the other touches their hand or arm with everyday objects; guess each one.","","","SPARK","MEDIUM","PLAY_AND_JOY","","","","","","","",""
"Favorite Scent Swap","Let each other smell something you love — perfume, lotion, spice — and share the memory it evokes.","","","CARE","SHORT","CONNECTION, PLAY_AND_JOY","","","","","","","",""
"T-shirt Tug ","Playfully pull each other’s shirts just enough to make each other smile; light and teasing. ","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Doodle on Me ","Use your finger to “draw” shapes or words on each other’s back; the other guesses.","","","FIRE","SHORT","INTIMACY","","","","","","","",""
"Pillow Toss Game ","Lightly toss a soft pillow back and forth; whoever drops it shares something they find attractive.","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Rhythm Touch","Take turns tapping or tracing to the beat of a slow song on each other’s skin. ","","","FIRE","MEDIUM","INTIMACY","","","","","","","",""
"Body Temperature Play","Alternate warm (hands, breath) and cool (ice cube, breeze) sensations lightly on hands or arms.","","","FIRE","MEDIUM","PLAY_AND_JOY","","","","","","","",""
"Secret Signal","Create a private signal (gesture, word, emoji) that means “I’m thinking of you.” ","","","BELONG","MOMENT","CONNECTION","","","","","","","",""
"30-Second Kiss","Once a day, pause whatever you’re doing and share a slow, uninterrupted kiss.","","","FIRE","SHORT","INTIMACY","","","","","","","",""
"Playful Message Drop","Leave flirty or funny notes in random spots during the week.","Playful Sparks","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Daily Load Check-In","Each shares one word for their physical and mental energy today. ","Team Us","","GRACE","SHORT","UNDERSTANDING","","","","","","","",""
"Invisible List","Silently write 5 daily tasks you handle; then share and notice surprises. ","","","BUILD","MEDIUM","BALANCE_AND_FAIRNESS","","","","","","","",""
"Temperature Check","Rate your stress (1–10); listen without fixing. ","","","CARE","SHORT","SUPPORT","","","","","","","",""
"Who Holds What ","Map out tasks under “Me / You / Shared / Dropped.” Reflect kindly.","","","BUILD","MEDIUM","BALANCE_AND_FAIRNESS","","","","","","","",""
"Appreciation Round","Name one invisible thing the other does that makes your life easier. ","","","GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Fairness Swap","Each chooses one small task to swap for a week, just to understand.","","","BUILD","MEDIUM","UNDERSTANDING","","","","","","","",""
"Load Lightener Pact","Each names one thing they’ll take off the other’s plate.","","","BUILD, CARE","SHORT","SUPPORT","","","","","","","",""
"Shared Pause Break","Agree on a short daily “no chores” time to just breathe together. ","","","CARE","SHORT","SUPPORT","","","","","","","",""
"15-Minute Tidy Team","Set a timer, tidy or handle chores together, then stop — no overdoing.","","","BUILD","MEDIUM","BALANCE_AND_FAIRNESS","","","","","","","",""
"Effort Mirror","Tell each other: “One thing I see you doing lately that I hadn’t said thanks for.” ","","","GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Love Receipt","Write a small note saying “I noticed you…” and leave it somewhere visible. ","","","CARE","SHORT","CONNECTION","","","","","","","",""
"Verbal Hug","Name one quality in your partner that keeps things together when it’s hard.","","","GRACE","SHORT","SUPPORT","","","","","","","",""
"Weekly Huddle","Once a week, review what’s working and adjust one small thing.","","","BUILD","MEDIUM","BALANCE_AND_FAIRNESS","","","","","","","",""
"Team Song Ritual","Pick a song that represents your teamwork; play it on chore days.","","","BUILD, SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"“We Got This” Toast ","End the week with a small drink or treat together, celebrating “Team Us.” ","Team Us","","GRACE","SHORT","CONNECTION","","","","","","","",""
"Weight Drop","Say out loud one thing you’re putting down for the day.","","","SELF","SHORT","UNDERSTANDING, SUPPORT","","","","","","","",""
"“Today Felt Heavy When…” ","Each finishes that sentence once.","","","CARE","SHORT","UNDERSTANDING","","","","","","","",""
"The Kind Voice","Speak to your partner as if comforting a dear friend.","","","GRACE","SHORT","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Silent Thank You","Look at each other and think one thing you’re thankful for — no words.","","","GRACE","MOMENT","CONNECTION","","","","","","","",""
"Hand-Hold Meditation ","Hold hands and feel the pulse, focusing on warmth between palms.","","","GRACE","SHORT","CONNECTION","","","","","","","",""
"Comfort Swap","Each says, “Right now, I need…” and the other offers a small comfort.","","","CARE","MEDIUM","SUPPORT","","","","","","","",""
"“We’re Okay” Hug","Hold each other until both sigh.","","","GRACE","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Evening Wind Down","Play calming music or dim lights for 5 mins together.","","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Tomorrow’s Soft Start","Plan one tiny ease for tomorrow morning together.","Soften the Edges","","BUILD, CARE","SHORT","SUPPORT","","","","","","","",""
"Name It Gently","Each completes: “What’s been hardest for me lately is…” The other listens, then says: “Thank you for sharing that.” ","Shelter in Each Other","","CARE, BELONG","MEDIUM","UNDERSTANDING, SUPPORT","","","","","","","",""
"Tender Note","Write a small message: “One thing I see you carrying bravely is…” Leave it somewhere for your partner.","","","BUILD, GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Warm Palms","Sit facing each other and rest palms together for a minute, feeling warmth move between you.","","","GRACE","MOMENT","CONNECTION","","","","","","","",""
"Together Statement ","Say aloud: “No matter what comes, we’re a team.” Let it land. ","","","BUILD","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Lean In ","Sit back-to-back and lean gently into each other, feeling shared support.","","","GRACE","MOMENT","SUPPORT","","","","","","","",""
"Storm Gratitude ","Share one thing you’re grateful for despite the challenge and one because of it. ","","Weathering a Storm","GROW, GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Tiny Hope Plan ","Name one small nurturing act you’ll each do this week (walk, rest, talk). ","Shelter in Each Other","","BUILD, SELF","MEDIUM","SUPPORT","","","","","","","",""
"Mini Silence","Sit together in quiet for one minute; let silence soften the nervous system. ","","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Breath Check ","Ask each other, “How’s your breath right now?” Then take three slower ones together.","","","CARE","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Tension Melt","Take turns massaging each other’s shoulders or necks for a few minutes in silence, while breathing slowly, focusing only on comfort.","","","CARE","SHORT","SUPPORT","","","","","","","",""
"Shared Shakeout ","Stand and shake limbs for 30 seconds; laugh if it helps! ","","","CARE, SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Wind Visualization","Close your eyes, imagine the wind carrying away what’s too heavy to hold.","","","GRACE","SHORT","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Quiet Tea Time ","Make tea together in silence, sip slowly side by side. ","","","BUILD, CARE","SHORT","CONNECTION","","","","","","","",""
"Safe Words","Choose two comfort words for the week (“anchor,” “soft”); say them when either feels tense.","","","CARE","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Palm Kiss ","Before sleep, press a soft kiss into your partner’s palm.","","","GRACE","MOMENT","CONNECTION","","","","","","","",""
"Future Note","Write a note to your future selves: “Here’s how we got through this time…” ","","","GROW","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Evening Thank You","Before bed, say: “One small thing I appreciated about you today is…” ","","","BUILD, GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Gentle Playlist ","Create a calming playlist together and make it your shared recovery soundtrack.","Finding Calm in Chaos","","GRACE","MEDIUM","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Silent Truce"," Sit together in silence for one minute; hold hands if possible, focusing only on breath. ","From Hurt to Healing","","GRACE","MOMENT","TRUST_AND_SAFETY","","","","","","","",""
"Reset Phrase ","Agree on a gentle word (e.g., “pause”) to signal a break when emotions rise.","","","GRACE","SHORT","COMMUNICATION","","","","","","","",""
"Impact Words","Each completes: “What hurt me was…” and the other responds only with, “I hear that.” ","","","BELONG","MEDIUM","UNDERSTANDING","","","","","","","",""
"Emotion Mirror ","Reflect what you hear your partner feeling in one sentence, then ask, “Did I get that right?” ","","","CARE, BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"Letter of Understanding ","Write a brief note expressing what you now understand about the other’s experience.","","","GRACE","LONG","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Bridge Words","Say: “I regret…” and “I wish to make space for…” ","","","CARE","SHORT","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Forgiveness Candle","Light a candle together, silently acknowledging mutual forgiveness. ","","","GRACE","MOMENT","TRUST_AND_SAFETY","","","","","","","",""
"Warm Hug Reset ","A 20-second hug held until both bodies soften.","","","BELONG","SHORT","CONNECTION","","","","","","","",""
"One New Promise","Each names one small way they’ll show care differently. ","","","GRACE","MEDIUM","TRUST_AND_SAFETY","","","","","","","",""
"Reunion Song ","Choose a “repair song” that symbolizes reconnection; play it after conflict next time. ","","","BELONG","MEDIUM","CONNECTION","","","","","","","",""
"Love Gratitude ","End with: “One thing I appreciate about you, even when we disagree…”","From Hurt to Healing","","GRACE","SHORT","UNDERSTANDING","","","","","","","",""
"Shared Smile ","Look into each other’s eyes without words until you both smile. ","Softening the Distance","","SPARK","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Three-Word Check-In ","Each shares three words that describe your current mood.","","","BELONG","SHORT","COMMUNICATION","","","","","","","",""
"Open Heart Minutes ","Each speaks for two minutes uninterrupted about what’s on their heart. ","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"What I Meant","Each shares: “What I was trying to express (but maybe didn’t well) was…” ","","","GRACE","MEDIUM","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Gentle Questions ","Take turns asking: “Is there something you wish I understood better?”","","","BELONG","SHORT","COMMUNICATION","","","","","","","",""
"Small Laughter","Watch a short funny clip together and let the laughter ease the heart.","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Weekly “I Hear You” Check-In ","Set a weekly ritual to ask: “Is there anything we didn’t get to talk about this week?” ","","","BUILD, BELONG","MEDIUM","COMMUNICATION","","","","","","","",""
"Evening Gratitude Whisper ","Whisper one thing you appreciated today before sleep.","Softening the Distance","","GRACE","MOMENT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Shared Silence Minute","Sit quietly for one minute, focusing on breathing together before talking. ","The Art of Listening","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Eye Contact Grounding ","Look into each other’s eyes for 30 seconds without words. ","","","BELONG","SHORT","CONNECTION","","","","","","","",""
"Palm Rest ","Rest your palms together, noticing texture, feeling the warmth of shared presence.","","","CARE","MOMENT","TRUST_AND_SAFETY, INTIMACY","","","","","","","",""
"Ask Before You Share ","Before sharing, ask, “Is this a good moment to talk?” ","","","GRACE","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Soft Start Words","Practice opening with “I feel…” or “What I hope you can understand is…” ","","","BELONG, GROW","SHORT","COMMUNICATION","","","","","","","",""
"Tiny Truths ","Each shares one small truth about how you’re feeling today.","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"Five-Minute Focus ","One partner speaks for 5 minutes without interruption; the listener summarizes only after. ","","","BELONG, GROW","MEDIUM","COMMUNICATION","","","","","","","",""
"Curiosity Rounds","Take turns asking open questions like, “What’s been on your mind most lately?”","","","CARE, BELONG","MEDIUM","UNDERSTANDING, CONNECTION","","","","","","","",""
"Feeling Wheel Share ","Use a feeling wheel or list of emotions; each names what they’ve felt most this week.","","","GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"What I See in You ","Reflect back something you’ve noticed or admired lately. ","","","BELONG","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Heart Mapping ","Draw or write 3–4 things occupying your heart, then share gently.","","","CARE, BELONG","LONG","UNDERSTANDING, CONNECTION","","","","","","","",""
"Weekly Listening Tea ","Pick one evening a week for a calm “listening tea” ritual — just checking in.","","","BELONG, BUILD","MEDIUM","COMMUNICATION","","","","","","","",""
"One Word Daily","Share one word each night that sums up your emotional state. ","","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Bridge Phrase","Create a phrase like “Let’s listen again” to use in future conflicts.","The Art of Listening","","BELONG","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Shake It Off Together ","Each shakes off stress for 10 seconds, then smile at each other. ","Conversations That Spark","","SPARK","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Mood Music Arrival ","Play a song that fits your current mood before sitting down to talk. ","","","CARE","SHORT","CONNECTION","","","","","","","",""
"The Word of the Day ","Each picks one word to describe how you feel stepping into this chat.","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"3 Curious Questions ","Ask fun but meaningful questions like “What’s something small that’s made you smile this week?” ","","","BELONG, GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"If I Weren’t Me… ","Complete the sentence “If I weren’t me today, I’d be…” to open imagination. ","","","SPARK","MEDIUM","PLAY_AND_JOY","","","","","","","",""
"Emotion Charades","Act out a recent emotion without words; partner guesses. ","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Tone Talk","Say a simple sentence like “I’m here” in three different tones and discuss how it felt. ","","","BELONG","MEDIUM","UNDERSTANDING","","","","","","","",""
"Draw the Feeling","Each draws your current emotional state and explain it to your partner.","","","BELONG, GROW","MEDIUM","COMMUNICATION","","","","","","","",""
"Our Alternate Universe","Imagine your life together in a parallel universe — what’s the same, what’s different? ","","","SPARK","LONG","PLAY_AND_JOY","","","","","","","",""
"The 10-Minute Adventure ","Plan a tiny adventure you can do this week (walk, sunset, drive). ","","","BELONG, SPARK","MEDIUM","CONNECTION","","","","","","","",""
"Dream Swap ","Share one dream or creative wish and what it means to you.","","","BELONG, GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"Nightly Curiosity Card ","Each night, ask one small “curiosity” question from a jar. ","","","BELONG, SPARK","SHORT","COMMUNICATION","","","","","","","",""
"Playful Check-In ","Text your partner one emoji that sums up your mood during the day. ","","","SPARK","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
